municipio_cod;municipio_fato;data_fato;mes;ano;risp;rmbh;tentado_consumado;qtde_vitimas
310090;AGUAS FORMOSAS;2023-10-28;10;2023;15;Interior de MG;TENTADO;1
310160;ALFENAS;2023-02-02;2;2023;18;Interior de MG;TENTADO;1
310190;ALPINOPOLIS;2023-10-29;10;2023;18;Interior de MG;TENTADO;1
310240;ALVORADA DE MINAS;2023-03-08;3;2023;14;Interior de MG;TENTADO;1
310350;ARAGUARI;2023-04-06;4;2023;9;Interior de MG;TENTADO;1
310350;ARAGUARI;2023-06-22;6;2023;9;Interior de MG;TENTADO;1
310350;ARAGUARI;2023-07-06;7;2023;9;Interior de MG;TENTADO;1
310350;ARAGUARI;2023-08-16;8;2023;9;Interior de MG;TENTADO;1
310400;ARAXA;2023-10-07;10;2023;5;Interior de MG;TENTADO;1
310560;BARBACENA;2023-06-15;6;2023;13;Interior de MG;TENTADO;1
310560;BARBACENA;2023-08-16;8;2023;13;Interior de MG;TENTADO;1
310620;BELO HORIZONTE;2023-01-01;1;2023;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2023-01-06;1;2023;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2023-01-14;1;2023;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2023-02-19;2;2023;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2023-02-23;2;2023;1;Belo Horizonte;TENTADO;2
310620;BELO HORIZONTE;2023-03-21;3;2023;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2023-04-02;4;2023;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2023-04-29;4;2023;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2023-05-15;5;2023;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2023-05-21;5;2023;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2023-06-08;6;2023;1;Belo Horizonte;TENTADO;2
310620;BELO HORIZONTE;2023-06-17;6;2023;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2023-07-30;7;2023;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2023-09-03;9;2023;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2023-09-05;9;2023;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2023-09-10;9;2023;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2023-09-22;9;2023;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2023-10-04;10;2023;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2023-10-26;10;2023;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2023-11-29;11;2023;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2023-12-08;12;2023;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2023-12-28;12;2023;1;Belo Horizonte;TENTADO;1
310670;BETIM;2023-02-12;2;2023;2;RMBH (Sem BH);TENTADO;1
310670;BETIM;2023-03-05;3;2023;2;RMBH (Sem BH);TENTADO;1
310670;BETIM;2023-06-21;6;2023;2;RMBH (Sem BH);TENTADO;1
310670;BETIM;2023-07-16;7;2023;2;RMBH (Sem BH);TENTADO;1
310670;BETIM;2023-09-16;9;2023;2;RMBH (Sem BH);TENTADO;1
310670;BETIM;2023-11-04;11;2023;2;RMBH (Sem BH);TENTADO;1
310670;BETIM;2023-11-12;11;2023;2;RMBH (Sem BH);TENTADO;1
310670;BETIM;2023-11-19;11;2023;2;RMBH (Sem BH);TENTADO;1
310670;BETIM;2023-12-12;12;2023;2;RMBH (Sem BH);TENTADO;1
310670;BETIM;2023-12-31;12;2023;2;RMBH (Sem BH);TENTADO;1
310940;BURITIZEIRO;2023-08-09;8;2023;14;Interior de MG;TENTADO;1
311020;CAJURI;2023-07-20;7;2023;4;Interior de MG;TENTADO;1
311070;CAMBUQUIRA;2023-01-25;1;2023;6;Interior de MG;TENTADO;1
311120;CAMPO BELO;2023-09-24;9;2023;6;Interior de MG;TENTADO;1
311230;CAPELINHA;2023-04-10;4;2023;14;Interior de MG;TENTADO;1
311340;CARATINGA;2023-01-12;1;2023;12;Interior de MG;TENTADO;1
311340;CARATINGA;2023-06-17;6;2023;12;Interior de MG;TENTADO;1
311570;CENTRAL DE MINAS;2023-01-01;1;2023;8;Interior de MG;TENTADO;1
311660;CLAUDIO;2023-09-30;9;2023;7;Interior de MG;TENTADO;1
311730;CONCEICAO DAS ALAGOAS;2023-10-23;10;2023;5;Interior de MG;TENTADO;1
311800;CONGONHAS;2023-05-30;5;2023;13;Interior de MG;TENTADO;1
311800;CONGONHAS;2023-11-03;11;2023;13;Interior de MG;TENTADO;1
311820;CONQUISTA;2023-03-12;3;2023;5;Interior de MG;TENTADO;1
311860;CONTAGEM;2023-02-25;2;2023;2;RMBH (Sem BH);TENTADO;1
311860;CONTAGEM;2023-06-30;6;2023;2;RMBH (Sem BH);TENTADO;1
311860;CONTAGEM;2023-07-22;7;2023;2;RMBH (Sem BH);TENTADO;1
311860;CONTAGEM;2023-10-09;10;2023;2;RMBH (Sem BH);TENTADO;1
311860;CONTAGEM;2023-10-14;10;2023;2;RMBH (Sem BH);TENTADO;1
311910;CORINTO;2023-09-10;9;2023;14;Interior de MG;TENTADO;1
311910;CORINTO;2023-10-15;10;2023;14;Interior de MG;TENTADO;1
311930;COROMANDEL;2023-06-23;6;2023;10;Interior de MG;TENTADO;1
312230;DIVINOPOLIS;2023-01-30;1;2023;7;Interior de MG;TENTADO;1
312245;DIVISOPOLIS;2023-08-11;8;2023;15;Interior de MG;TENTADO;1
312260;DOM JOAQUIM;2023-01-09;1;2023;14;Interior de MG;TENTADO;1
312410;ESMERALDAS;2023-12-24;12;2023;2;RMBH (Sem BH);TENTADO;1
312430;ESPINOSA;2023-06-23;6;2023;11;Interior de MG;TENTADO;1
312760;GOUVEIA;2023-02-22;2;2023;14;Interior de MG;TENTADO;1
312820;GUARACIABA;2023-10-07;10;2023;12;Interior de MG;TENTADO;1
312980;IBIRITE;2023-04-08;4;2023;2;RMBH (Sem BH);TENTADO;1
312980;IBIRITE;2023-04-26;4;2023;2;RMBH (Sem BH);TENTADO;1
312980;IBIRITE;2023-06-23;6;2023;2;RMBH (Sem BH);TENTADO;1
312980;IBIRITE;2023-11-24;11;2023;2;RMBH (Sem BH);TENTADO;1
312980;IBIRITE;2023-12-09;12;2023;2;RMBH (Sem BH);TENTADO;1
313020;IGARATINGA;2023-04-15;4;2023;7;Interior de MG;TENTADO;1
313130;IPATINGA;2023-02-26;2;2023;12;Interior de MG;TENTADO;1
313130;IPATINGA;2023-10-28;10;2023;12;Interior de MG;TENTADO;1
